ticker,last_price,ret_6m,ret_3m,price_vs_ma50,price_vs_ma150,atr_pct,dollar_vol,trend_raw,trend_score,volatility_score,liquidity_score,total_score
9988.HK,155.0,0.3293310637083897,0.19414481013682017,-0.04821556196489918,0.14512275993385537,0.03207372849987399,15256126012.290813,0.19484503212480767,71.34212756511434,54.216395360113964,100.0,76.51434285457997
0165.HK,9.15999984741211,0.7786407141335365,0.10361441408606797,-0.10391111480009729,0.10582608972927154,0.036260142308676004,51816828.69698157,0.3323409958921428,100.0,67.60592579006578,0.0,63.521185158013154
1788.HK,2.700000047683716,1.347826177095873,-0.49438202799016184,-0.241615626136631,-0.2822203192610483,0.03306880140687647,162837756.13117734,0.3142707052878696,96.23366338320398,57.39896630910073,0.7301938292204199,59.81568310218826
9880.HK,116.0999984741211,0.41671754481513035,0.13268291194264492,-0.11118938233782016,0.10999214275894387,0.04638857812689265,1021438093.134029,0.19525322931717598,71.42720688487506,100.0,6.377279314230959,57.62678723670682
0700.HK,610.0,0.18446601941747565,0.029535864978903037,-0.04195002434389283,0.057003078593665935,0.02031615925058548,9656853868.775,0.07995747025124919,47.39645670819531,16.611815775884057,63.17312364604047,45.97252860308661
2318.HK,60.45000076293945,0.3227571062090999,0.08625335319763483,0.07769379563432399,0.13615718808198096,0.022037104207133687,2208810083.7260704,0.18413332637799334,69.10951877834526,22.115964652788378,14.18672317816706,43.23396927318042
1299.HK,78.30000305175781,0.16778522726264167,0.08750004238552522,0.023837270379037934,0.08427232606546764,0.023216569591058066,1802298976.2654133,0.10655879030306858,52.94089027378419,25.888283484702768,11.51306597643571,35.10202162676336
0005.HK,111.0,0.1903485254691688,0.11445784839887274,0.030717229452327244,0.10455820977415131,0.01512225530322454,1285011704.3468583,0.1270760315752099,57.217237498694395,0.0,8.110824771838711,31.04186618089881
0386.HK,4.53000020980835,0.06588240230784703,0.09685232064977312,0.0631806751686943,0.06381318612377673,0.021128990339995404,625297719.6091033,0.07442611076418729,46.243571996321506,19.211517358938856,3.771831288007052,28.095638856350643
2331.HK,16.889999389648438,0.1097239877345706,-0.09144705481364923,-0.023530123333681985,-0.0014504657965768164,0.025712602769038608,261955496.273129,0.01160440740333939,33.14983228404996,33.871419819785594,1.382099410362537,23.76382992909086
2018.HK,38.47999954223633,0.017989426425942368,-0.08685334362655872,-0.050270511079013924,-0.062318772970172964,0.03315265259897427,204775818.40814647,-0.03514621203041075,23.405740521098963,57.667150043307956,1.0060239361365715,23.538107450052042
2388.HK,37.34000015258789,0.09181284560236236,0.011924081531552222,-0.007928072459496449,0.028859879207146832,0.017713662998307966,381933730.11608374,0.041602736129226,39.402294206066465,8.288175458617639,2.1712061852524935,22.010144050332507
3690.HK,99.05000305175781,-0.3009879662316638,-0.023175527009448138,-0.015613017749187552,-0.14981700426369504,0.031802123562978526,4621615863.999765,-0.145452148571707,0.4150041271187234,53.34771330105883,30.05594650912396,19.893828676508317
6060.HK,15.050000190734863,-0.13999998910086497,-0.19172934949478315,-0.08148815873051929,-0.13465960239557195,0.029520637308265634,167380432.4885231,-0.143282392474442,0.8672399000571568,46.05076870165796,0.7600713876316071,9.871795106649653
0823.HK,35.0,-0.16167664670658688,-0.1450903474831523,-0.120673709552365,-0.15110768251192686,0.028000002491230868,619650515.624799,-0.14744327308924615,0.0,41.18727763617305,3.734689159968786,9.357862275225246
